country,city,geo_type,date,driving_waze
United States,San Diego,city,2020-03-29,-76.0
United States,San Diego,city,2020-03-30,-69.0
United States,San Diego,city,2020-03-31,-73.0
United States,San Diego,city,2020-04-01,-73.0
United States,San Diego,city,2020-04-02,-74.0
United States,San Diego,city,2020-04-03,-74.0
United States,San Diego,city,2020-04-04,-76.0
United States,San Diego,city,2020-04-05,-77.0
United States,San Diego,city,2020-04-06,-73.0
United States,San Diego,city,2020-04-07,-76.0
United States,San Diego,city,2020-04-08,-76.0
United States,San Diego,city,2020-04-09,-76.0
United States,San Diego,city,2020-04-10,-76.0
United States,San Diego,city,2020-04-11,-76.0
United States,San Diego,city,2020-04-12,-78.0
United States,San Diego,city,2020-04-13,-71.0
United States,San Diego,city,2020-04-14,-74.0
United States,San Diego,city,2020-04-15,-73.0
United States,San Diego,city,2020-04-16,-73.0
United States,San Diego,city,2020-04-17,-72.0
United States,San Diego,city,2020-04-18,-73.0
United States,San Diego,city,2020-04-19,-75.0
United States,San Diego,city,2020-04-20,-69.0
United States,San Diego,city,2020-04-21,-71.0
United States,San Diego,city,2020-04-22,-73.0
United States,San Diego,city,2020-04-23,-72.0
United States,San Diego,city,2020-04-24,-72.0
United States,San Diego,city,2020-04-25,-72.0
United States,San Diego,city,2020-04-26,-72.0
United States,San Diego,city,2020-04-27,-65.0
United States,San Diego,city,2020-04-28,-70.0
United States,San Diego,city,2020-04-29,-70.0
United States,San Diego,city,2020-04-30,-68.0
United States,San Diego,city,2020-05-01,-68.0
United States,San Diego,city,2020-05-02,-67.0
United States,San Diego,city,2020-05-03,-67.0
United States,San Diego,city,2020-05-04,-63.0
United States,San Diego,city,2020-05-05,-67.0
United States,San Diego,city,2020-05-06,-67.0
United States,San Diego,city,2020-05-07,-69.0
United States,San Diego,city,2020-05-08,-65.0
United States,San Diego,city,2020-05-09,-63.0
United States,San Diego,city,2020-05-10,-62.0
United States,San Diego,city,2020-05-11,-57.99999999999999
United States,San Diego,city,2020-05-12,-65.0
United States,San Diego,city,2020-05-13,-66.0
United States,San Diego,city,2020-05-14,-69.0
United States,San Diego,city,2020-05-15,-63.0
United States,San Diego,city,2020-05-16,-61.0
United States,San Diego,city,2020-05-17,-60.0
United States,San Diego,city,2020-05-18,-57.99999999999999
United States,San Diego,city,2020-05-19,-62.0
United States,San Diego,city,2020-05-20,-63.0
United States,San Diego,city,2020-05-21,-60.0
United States,San Diego,city,2020-05-22,-56.99999999999999
United States,San Diego,city,2020-05-23,-53.0
United States,San Diego,city,2020-05-24,-53.0
United States,San Diego,city,2020-05-25,-62.0
United States,San Diego,city,2020-05-26,-46.0
United States,San Diego,city,2020-05-27,-56.00000000000001
United States,San Diego,city,2020-05-28,-56.00000000000001
United States,San Diego,city,2020-05-29,-57.99999999999999
United States,San Diego,city,2020-05-30,-52.0
United States,San Diego,city,2020-05-31,-51.0
United States,San Diego,city,2020-06-01,-51.0
United States,San Diego,city,2020-06-02,-61.0
United States,San Diego,city,2020-06-03,-59.0
United States,San Diego,city,2020-06-04,-56.99999999999999
United States,San Diego,city,2020-06-05,-56.99999999999999
United States,San Diego,city,2020-06-06,-55.00000000000001
United States,San Diego,city,2020-06-07,-50.0
United States,San Diego,city,2020-06-08,-50.0
United States,San Diego,city,2020-06-09,-54.0
United States,San Diego,city,2020-06-10,-59.0
United States,San Diego,city,2020-06-11,-54.0
United States,San Diego,city,2020-06-12,-50.0
United States,San Diego,city,2020-06-13,-39.0
United States,San Diego,city,2020-06-14,-37.0
United States,San Diego,city,2020-06-15,-45.0
United States,San Diego,city,2020-06-16,-50.0
United States,San Diego,city,2020-06-17,-52.0
United States,San Diego,city,2020-06-18,-52.0
United States,San Diego,city,2020-06-19,-48.0
United States,San Diego,city,2020-06-20,-41.0
United States,San Diego,city,2020-06-21,-44.0
United States,San Diego,city,2020-06-22,-38.0
United States,San Diego,city,2020-06-23,-56.99999999999999
United States,San Diego,city,2020-06-24,-48.0
United States,San Diego,city,2020-06-25,-50.0
United States,San Diego,city,2020-06-26,-47.0
United States,San Diego,city,2020-06-27,-41.0
United States,San Diego,city,2020-06-28,-41.0
United States,San Diego,city,2020-06-29,-45.0
United States,San Diego,city,2020-06-30,-52.0
United States,San Diego,city,2020-07-01,-46.0
United States,San Diego,city,2020-07-02,-51.0
United States,San Diego,city,2020-07-03,-36.0
United States,San Diego,city,2020-07-04,-51.0
